palabra,pinyin,sentido,traduccion,ejemplo,audio_url,score
就,jiu,(después de una cláusula suposición) en ese caso,(después de una cláusula suposición) en ese caso,Ejemplo de uso con 就 - (después de una cláusula suposición) en ese caso,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
就,jiu,entonces, entonces,Ejemplo de uso con 就 - entonces,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
就,jiu,(después de una cláusula de acción) tan pronto como, (después de una cláusula de acción) tan pronto como,Ejemplo de uso con 就 - (después de una cláusula de acción) tan pronto como,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
就,jiu,inmediatamente después, inmediatamente después,Ejemplo de uso con 就 - inmediatamente después,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
就,jiu,(igual que 就是 [jiu4 shi4]) simplemente, (igual que 就是 [jiu4 shi4]) simplemente,Ejemplo de uso con 就 - (igual que 就是 [jiu4 shi4]) simplemente,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
就,jiu,nada más que, nada más que,Ejemplo de uso con 就 - nada más que,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
就,jiu,simplemente, simplemente,Ejemplo de uso con 就 - simplemente,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
就,jiu,justo, justo,Ejemplo de uso con 就 - justo,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
就,jiu,precisamente, precisamente,Ejemplo de uso con 就 - precisamente,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
就,jiu,exactamente, exactamente,Ejemplo de uso con 就 - exactamente,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
就,jiu,solo, solo,Ejemplo de uso con 就 - solo,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
就,jiu,tan poco como, tan poco como,Ejemplo de uso con 就 - tan poco como,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
就,jiu,cuanto, cuanto,Ejemplo de uso con 就 - cuanto,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
就,jiu,cuantos, cuantos,Ejemplo de uso con 就 - cuantos,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
就,jiu,acercarse, acercarse,Ejemplo de uso con 就 - acercarse,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
就,jiu,para moverse hacia, para moverse hacia,Ejemplo de uso con 就 - para moverse hacia,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
就,jiu,emprender, emprender,Ejemplo de uso con 就 - emprender,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
就,jiu,participar, participar,Ejemplo de uso con 就 - participar,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
就,jiu,(a menudo seguido por 著 | 着 [zhe5]) aprovechando, (a menudo seguido por 著 | 着 [zhe5]) aprovechando,Ejemplo de uso con 就 - (a menudo seguido por 著 | 着 [zhe5]) aprovechando,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
就,jiu,(de comida) para ir, (de comida) para ir,Ejemplo de uso con 就 - (de comida) para ir,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
就,jiu,con respecto a, con respecto a,Ejemplo de uso con 就 - con respecto a,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
就,jiu,sobre, sobre,Ejemplo de uso con 就 - sobre,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
就,jiu,(Patrón: 就 [jiu4] ... 也 [ye3] ...) Incluso si ... todavía ..., (Patrón: 就 [jiu4] ... 也 [ye3] ...) Incluso si ... todavía ...,Ejemplo de uso con 就 - (Patrón: 就 [jiu4] ... 也 [ye3] ...) Incluso si ... todavía ...,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
就,jiu,(Patrón: 不 [Bu4] ... 就 [jiu4] ...) Si no ... entonces debe ser ..., (Patrón: 不 [Bu4] ... 就 [jiu4] ...) Si no ... entonces debe ser ...,Ejemplo de uso con 就 - (Patrón: 不 [Bu4] ... 就 [jiu4] ...) Si no ... entonces debe ser ...,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob,39329568
去,qu,ir,ir,Ejemplo de uso con 去 - ir,https://translate.google.com/translate_tts?ie=UTF-8&q=去&tl=zh&client=tw-ob,24186792
去,qu,para ir a (un lugar), para ir a (un lugar),Ejemplo de uso con 去 - para ir a (un lugar),https://translate.google.com/translate_tts?ie=UTF-8&q=去&tl=zh&client=tw-ob,24186792
去,qu,"(de un tiempo, etc.) Último"," (de un tiempo, etc.) Último","Ejemplo de uso con 去 - (de un tiempo, etc.) Último",https://translate.google.com/translate_tts?ie=UTF-8&q=去&tl=zh&client=tw-ob,24186792
去,qu,Acabo de pasar, Acabo de pasar,Ejemplo de uso con 去 - Acabo de pasar,https://translate.google.com/translate_tts?ie=UTF-8&q=去&tl=zh&client=tw-ob,24186792
去,qu,para enviar, para enviar,Ejemplo de uso con 去 - para enviar,https://translate.google.com/translate_tts?ie=UTF-8&q=去&tl=zh&client=tw-ob,24186792
去,qu,para quitar, para quitar,Ejemplo de uso con 去 - para quitar,https://translate.google.com/translate_tts?ie=UTF-8&q=去&tl=zh&client=tw-ob,24186792
去,qu,deshacerse de, deshacerse de,Ejemplo de uso con 去 - deshacerse de,https://translate.google.com/translate_tts?ie=UTF-8&q=去&tl=zh&client=tw-ob,24186792
去,qu,para reducir, para reducir,Ejemplo de uso con 去 - para reducir,https://translate.google.com/translate_tts?ie=UTF-8&q=去&tl=zh&client=tw-ob,24186792
去,qu,estar separado del espacio o en el tiempo, estar separado del espacio o en el tiempo,Ejemplo de uso con 去 - estar separado del espacio o en el tiempo,https://translate.google.com/translate_tts?ie=UTF-8&q=去&tl=zh&client=tw-ob,24186792
去,qu,morir (eufemismo), morir (eufemismo),Ejemplo de uso con 去 - morir (eufemismo),https://translate.google.com/translate_tts?ie=UTF-8&q=去&tl=zh&client=tw-ob,24186792
去,qu,jugar (un papel), jugar (un papel),Ejemplo de uso con 去 - jugar (un papel),https://translate.google.com/translate_tts?ie=UTF-8&q=去&tl=zh&client=tw-ob,24186792
去,qu,(cuando se usa antes o después de un verbo) para ir para hacer sth, (cuando se usa antes o después de un verbo) para ir para hacer sth,Ejemplo de uso con 去 - (cuando se usa antes o después de un verbo) para ir para hacer sth,https://translate.google.com/translate_tts?ie=UTF-8&q=去&tl=zh&client=tw-ob,24186792
