frase,palabra,significado_correcto
生活就是當你忙著進行你的計劃時總有其他的事情發生。,行,
我喜欢旅行。,行,
我在旅行社工作.,行,
我在旅行中用了地图。,行,
我不够钱去旅行。,行,
他喜欢旅行。我也是。,行,
在英国的时候，我经常看参考书。,书,
这和我那本是同一本书。,书,
他后悔在校时没用功读书。,书,
Jack买不起新自行车。,行,
接下来该采取什么行动就交给你了。,行,
这种款式的帽子现在很流行。,行,
你可以想象在月球上行走吗？,行,
这本书对你来说读起来太难了。,书,
这本书有精美的插图。,书,
我做完我的功课后，就读这本书。,书,
银行对风险客户收取较高的贷款利息。,银行,
他有很多历史书籍。,书,
把你的自行车放好。,行,
我发现他在花园里干活。,花,
一个神圣的仪式在庄严的庙宇中举行。,行,
一个人要为他的行为负责。,行,
我用两千日元买了这本书。,书,
她认为计划很好，但不可行。,行,
我在找关于古罗马历史的书。,书,
他们的旅行因为火车延期了。,行,
我看见书桌上有朵花。,书,
你只要在这里写下你的姓名和地址就行了。,行,
我还了从图书馆借的书，又借了些新的。,书,
自行车从右侧超过汽车是不合法的。,行,
花园被木栅栏围了起来。,花,
飞行愉快！,行,
现在是行动的时候了。,行,
这张书桌是木制的。,书,
旅行最快的方式是乘飞机。,行,
在城市里行驶的车辆数量增加了。,行,
书桌上有几本书。,书,
这本书我能借多久？,书,
她拿了其中一个玻璃花瓶。,花,
他有花不完的钱。,花,
这本书谁想要就给谁吧。,书,
他英勇的行为带给了他光荣。,行,
我有两本英语书。,书,
你有几本书?,书,
"这不是你的书,这是我的书。",书,
我们把书桌整理干净吧。,书,
他把他的自行车刷成红色。,行,
她帮她爸爸干了花园里的活。,花,
她休假期间花了一大笔钱。,花,
我在银行工作。,银行,
我不喜欢在银行工作.,银行,
"王小明说英语,但英语书不多.",书,
我有很多法语书.,书,
这是谁的语法书?,书,
他说的词典图书馆没有.,书,
Maria花很多钱买衣服。,花,
年轻的时候多看点好书是件好事。,书,
她在超市做秘书。,书,
他们给图书馆提供了很多书。,书,
不是因为读者对某本书不感兴趣，这本书就肯定是有问题的了。,书,
他以教书为生。,书,
旅行前，我剪了头发。,行,
那是人类第一次在月球上行走。,行,
她为一本书收集材料。,书,
那个男孩否认偷了自行车。,行,
你生日的时候，我送你一辆自行车。,行,
你能把你的自行车借给我吗？,行,
翻译几页英文花了我2个多小时。,花,
"妈妈，我能吃一块饼干吗？ ""不行，不该在3餐间吃。""",行,
这将是我环绕美国旅行的一个很好的回忆。,行,
你的新电脑运行得好吗？,行,
乘飞机去该岛，将花费你100美元。,花,
我能借这本书吗？,书,
这是我的书。,书,
这本书有很多插图。,书,
我的业余爱好是拍野花的照片。,花,
昨晚我的自行车被偷了。,行,
这辆自行车是谁的？,行,
这是我的自行车。,行,
这辆自行车需要修理。,行,
他的自行车是蓝色的。,行,
这辆自行车属于我。,行,
他骑自行车去的。,行,
哪本是你的书？,书,
这是邮局，那是银行。,银行,
他银行里有点钱。,银行,
他看见色彩鲜艳的鸟、花朵和树叶。,花,
给你解释这为什么行不通要花很多时间。,花,
旅行社的利润猛涨。,行,
危险的行为应受到惩罚。,行,
我从英国订了好几本书。,书,
据最少的估计，也要花3000日元。,花,
我发现读这本书很难。,书,
我谨记祸不单行。,行,
他把他女儿嫁给了一个银行家。,银行,
她对当下的流行很敏感。,行,
