frase,palabra,significado_correcto,traduccion_es
有什么言情小说推荐吗？,推,,¿Tienes alguna novela de amor que recomendar?
男孩观察了一整天鸟。,一,,Los chicos miran pájaros todo el día.
我可以多拿些青花菜嗎？,拿,,¿Me das más repollo?
儘可能多點查字典。,字,,Compruebe el diccionario tanto como sea posible.
汤姆正要为我们铲掉屋顶上的雪。,要,,Tom está a punto de quitar la nieve del techo para nosotros.
你每個月花多少錢呀？,花,,¿Cuánto gastas cada mes?
你還有別的問題嗎？,有,,¿Tiene alguna otra pregunta?
但是他不擅於閱讀英文。,但,,Pero no es bueno leyendo inglés.
他们的妈妈给他们打电话。,打,,Su madre los llama.
我想到了一个主意。,一,,Tengo una idea.
我在日本已經兩個月了。,月,,Llevo dos meses en Japón.
湯姆在偷聽。,在,,Tom está espiando.
一百年称为一个世纪。,一,,Cien años se llaman un siglo.
最后不能后悔啊。,不能,,No puedes arrepentirte al final.
玛丽在研究上成功了。,成,,Mary ha tenido éxito en su investigación.
汤姆话太多，不小心把秘密泄露了出去。,心,,"Tom habló demasiado, filtrando accidentalmente secretos."
他出生在一个宫殿里，那宫殿已经不存在了。,一,,Nació en un palacio que ya no existe.
我茕茕孑立，形影相吊。,立,,Estoy de pie y pasando el rato.
請在下箇星期日休息。,期,,"Por favor, descanse el próximo domingo."
Johny以前是個化學家，但現在Johny不再是了。他以前所想的是水，是硫酸。,水,,"Johny solía ser químico, pero ahora ya no lo es, solía pensar en el agua, es ácido sulfúrico."
我和瑪莉成了好朋友。,成,,Mary y yo nos hicimos buenas amigas.
马上！,上,,¡Ahora!
如果完全相信书本上的知识（而不加区分、不思考），那么还不如不看书呢。,看,,"Si el conocimiento en los libros (sin distinción o consideración) es totalmente confiable, entonces es mejor no leer."
他经常忘记信守承诺。,常,,A menudo se olvida de cumplir sus promesas.
警察抓著小偷的胳膊。,小,,La policía agarró el brazo del ladrón.
这是一会儿事。,一,,Es cuestión de tiempo.
男人的思维方式和女人不同，所以有些男人的表达方式比较生猛。,比,,"Los hombres piensan diferente de las mujeres, así que algunos hombres expresan más fuertemente."
我们老师确实很讲究礼节，不是吗？,老,,"Nuestro profesor es muy educado, ¿no?"
我的航班什么时候开发？,么,,¿Cuándo se desarrollará mi vuelo?
我身体很好。,身,,Estoy en buen estado de salud.
這讓我感到很驚訝。,到,,Esto me sorprende.
他喜歡茶。,喜,,Le gusta el té.
这得看情况。,看,,Eso depende.
我絕不能忍受。,不能,,No puedo soportarlo.
我从不吃肉。,肉,,Nunca como carne.
所有學英語的學生應該隨手有一本好的英英詞典。,有,,Todos los estudiantes de habla inglesa deben tener un buen diccionario de inglés a su disposición.
她強迫他吃菠菜。,吃,,Ella lo forzó a comer espinacas.
