frase,palabra,significado_correcto,traduccion_es,Significados_es
薛偏要在床上看电视,看,,Xue quiere ver la tele en la cama.,para ver; mirar; para leer; para mirar; para visitar; llamar; considerar; considerar como; cuidar; tratar (un paciente o enfermedad); depender de; sentir (que); (después de un verbo) para probarlo; Para tener en cuenta
回答問題。,回,,Responde a la pregunta.,a un círculo; volver; dar la vuelta; para responder; para regresar; para girar; Grupo étnico Hui (musulmanes chinos); tiempo; clasificador para actos de una obra; sección o capítulo (de un libro clásico)
你知道这儿附近有什么好餐馆吗?,道,,¿Conoces algún buen restaurante por aquí?,"camino; ruta (cl: 條 | 条 [tiao2], 股 [gu3]); (forma unida) forma; razón; principio; (forma unida) una habilidad; un arte; una especialización; (Taoísmo) el camino; el dao; decir (introducir una cita directa, como en una novela); (forma unida) para expresar; extender (palabras educadas); Clasificador para cosas largas y delgadas (ríos, grietas, etc.), barreras (paredes, puertas, etc.), preguntas (en un examen, etc.), comandos, cursos en una comida, pase en un proceso; (antiguo) Circuito (división administrativa)"
在你有需要的時候，會幫你的朋友才是真正的朋友。,有,,Un amigo que te ayuda cuando lo necesitas es un amigo de verdad.,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
我们是学生。,生,,Somos estudiantes.,nacer; dar a luz; vida; crecer; crudo; crudo; alumno
我沒去過紐西蘭。,去,,Nunca he estado en Nueva Zelanda.,"ir; para ir a (un lugar); (de un tiempo, etc.) Último; Acabo de pasar; para enviar; para quitar; deshacerse de; para reducir; estar separado del espacio o en el tiempo; morir (eufemismo); jugar (un papel); (cuando se usa antes o después de un verbo) para ir para hacer sth; (después de un verbo de movimiento indica el movimiento lejos del altavoz); (usado después de ciertos verbos para indicar desprendimiento o separación)"
加利福尼亞州和內華達州相互接界。,州,,California y Nevada están bordeando el uno al otro.,"prefectura; (antigua) provincia; (antigua) división administrativa; estado (por ejemplo, de nosotros); oblast (Rusia); Cantón (Suiza)"
汤姆也很混乱。,也,,Tom también es un desastre.,también; también; también; (no ...) tampoco; (utilizado después de una expresión verbal o nominal x para indicar que x es un caso extremo o inesperado) incluso (x); (literaria) Partículas que tienen funciones similares a 啊 [A5]
他们不是公司员工吗？,是,,¿No son empleados de la compañía?,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
他做什么工作？,么,,¿A qué se dedica?,"más joven; la mayoría de los junior; diminuto; una (forma hablada inequívoca al explicar números, especialmente por teléfono o en militares); uno o as en dados o dominó; variante de 吆 [yao1], gritar"
你看上去很傻。,看,,Te ves estúpida.,para ver; mirar; para leer; para mirar; para visitar; llamar; considerar; considerar como; cuidar; tratar (un paciente o enfermedad); depender de; sentir (que); (después de un verbo) para probarlo; Para tener en cuenta
我不想。,不,,No quiero.,No; no así; (forma unida) no; Naciones Unidas-
他看起来很年轻。,看,,Parece joven.,para ver; mirar; para leer; para mirar; para visitar; llamar; considerar; considerar como; cuidar; tratar (un paciente o enfermedad); depender de; sentir (que); (después de un verbo) para probarlo; Para tener en cuenta
可能要下雨了。,要,,Tal vez llueva.,querer; necesitar; pedir; voluntad; deber; a punto de; necesidad de; debería; if (igual que 要是 [yao4 shi5]); (forma unida) importante
我在脫衣服。,在,,Me estoy quitando la ropa.,existir; estar vivo; (de SB o STH) para ser (ubicado) en; (usado antes de un verbo para indicar una acción en progreso)
这艘船没有雷达装备。,有,,La nave no tiene equipo de radar.,tener; hay; (forma unida) tener; con; -ful; -Ed; -al (como en 有意 [yo3yi4] intencional)
窗户里发出了奇怪的声音。,了,,Había un extraño sonido en la ventana.,"para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])"
汤姆是谁？,是,,¿Quién es Tom?,ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática)
汤姆跑得快。,跑,,Tom corre rápido.,"correr; para huir; para escapar; para correr (en recados, etc.); (de un gas o líquido) para fugas o evaporadas; (complemento verbal) fuera; apagado"
我有時休假去看超級杯。,看,,A veces estoy de vacaciones para ver el Super Bowl.,para ver; mirar; para leer; para mirar; para visitar; llamar; considerar; considerar como; cuidar; tratar (un paciente o enfermedad); depender de; sentir (que); (después de un verbo) para probarlo; Para tener en cuenta
他不會告訴任何人，對吧？,人,,"No se lo dirá a nadie, ¿verdad?","persona; gente; CL: 個 | 个 [GE4], 位 [wei4]"
正确存储在面包箱中的面包才可以保持新鲜酥脆。,中,,El pan almacenado correctamente en la bolsa se puede mantener fresco y crujiente.,"para golpear (la marca); ser golpeado por; sufrir; para ganar (un premio, una lotería)"
