id,lang,text
10240143,spa,¿Cómo podrá dormir con el ventilador encendido?
3196672,spa,¿Cómo le dice usted a este insecto en inglés?
2917403,spa,Están difundiendo noticias falsas.
1368479,spa,Tom le pidió varias veces a Mary que abriera la ventana.
7929773,spa,¿Te viene bien que venga a las 2:30?
10082319,spa,Estoy agradecido por todo lo que habéis hecho por mí.
3338553,spa,Deberías leer esto.
915130,spa,¿Qué hacemos para la comida?
11910302,spa,Tom no logra alejar a Mary de su mente.
4380938,spa,Él no prestó atención al consejo de su madre.
751259,spa,Este plato tiene un sabor muy fuerte a ajo.
346261,spa,¿Piensas ir a Tokio en autobús?
7591118,spa,No lo sabe ninguno.
2857847,spa,Me cansé de este juego.
2009246,spa,Mi hija Meva cumple diecinueve años hoy.
11034970,spa,Estoy comiendo con mi hermano.
1305422,spa,"Por favor, averigua dónde está ella."
2378560,spa,¿Cómo ha ido el concierto?
862781,spa,¿Vendrá mañana?
951050,spa,Ella ama los niños.
8117021,spa,"De verdad no lo van a olvidar, yo mismo lo anoté en el calendario."
3990429,spa,Ella es tonta como una oca.
5992149,spa,Vi su cara bajo una tenue luz.
959917,spa,También hay vendedores que dan soporte Linux.
2113464,spa,Él corrió los cien metros en exactamente once segundos.
8011438,spa,Mary me dijo que me amaba.
5638627,spa,Tom tiene unos preciosos ojos azules.
7848819,spa,Me prometiste que no volverías a bostezar.
10704379,spa,Haz el favor de no preocuparte.
859779,spa,Mi casa está asegurada.
1294050,spa,Nótese que trabajamos con una leve generalización de la definición original.
462461,spa,Alguien me robó las pertenencias.
2267816,spa,Ese color le va muy bien.
12165154,spa,"El poeta es, ante todo, un artista en el uso de las palabras."
1128117,spa,"No se trata de creer o no creer, es un hecho."
2910657,spa,"Lo esperamos hasta las dos y, finalmente, nos fuimos a dormir."
1241288,spa,"Las naranjas significan amor feliz, mientras que los limones son para el no correspondido."
4381364,spa,"Como preparación para pintar un retrato, mi amigo toma muchas fotografías con el fin de estudiar el tema de cerca."
5051395,spa,"Esta sopa contiene zanahorias, cebollas, perejil, apio y patatas."
719920,spa,"Mi abuelo amasó una gran fortuna en la bolsa de valores y luego, de la noche a la mañana, lo perdió todo."
5709068,spa,¿Sacamos una mordaza?
5206454,spa,Bebe cuando tengas sed.
1083275,spa,Pedro no tiene hermanas.
2901073,spa,Es como si estuviera muerto.
7729445,spa,Él fue abducido por alienígenas
10686699,spa,Memorizaron 2000 palabras en inglés.
857071,spa,Hubo un cambio repentino en la situación.
3767584,spa,Hay una gran diferencia entre valorarse y ser arrogante.
955982,spa,Un hombre hambriento es un hombre enfadado.
11764460,spa,Mis hijos tienen demasiada propensión a mentir.
1522924,spa,"Nací en Sudamérica, así que soy americano."
1715832,spa,Tom se presentó.
13082867,spa,Pero estoy seguro de que te encanta el fútbol.
7300194,spa,¿Eres el hermano de Tom?
1586597,spa,Él fue capaz de arreglárselas con la pequeña cantidad de dinero.
841929,spa,¿Qué dieta es mejor?
1449299,spa,"A ídolo caído, ídolo puesto."
1629823,spa,Se nos otorgaron uniformes.
7905273,spa,Mary y sus colegas construyeron un pequeño cohete a reacción en el garaje de su casa.
2040004,spa,Mi enfermo padre gime de dolor.
1828391,spa,Queremos ver estas películas.
8072424,spa,Yahvé dijo a Moisés: ¿Hasta cuándo os negaréis a guardar mis mandatos y mis leyes?
853298,spa,Pronto podrás hablar inglés.
7107750,spa,Hoy no me apetece salir.
12204792,spa,Los rabanitos son rojos y tienen hojas verdes.
11924074,spa,Nadie te ha elegido.
490972,spa,Estoy acostumbrado.
1187473,spa,El vendedor insistió hasta el final.
8500730,spa,He aquí el folleto.
10922979,spa,Cada vez te quiero más y más.
1082777,spa,Eso no tiene ningún sentido.
1460019,spa,Ella está cenando ahora.
5040457,spa,El doce de agosto es el día internacional de la juventud.
1309041,spa,La guerra empezó en 1941.
5147637,spa,Tomás es adicto al dinero.
1682591,spa,Se dice que Homero era ciego.
7964759,spa,Sé que estás enamorada de mí.
2170045,spa,¡Alto! Hay un ciervo en el camino.
831204,spa,"Aunque paró de llover, el viento seguía soplando con fuerza."
1279714,spa,¿Dónde está el presidente?
1783191,spa,Tom testificó en contra de Mary.
10345132,spa,"Me contó aquel sorprendente secreto como si tal cosa, como si no fuera del todo con ella."
5752535,spa,Tom me mordió.
9724473,spa,¿Queréis huevos?
966275,spa,"Un samurái sin espada es como un samurái con espada, sólo que sin ella."
11882591,spa,"Si alguien se acerca, el perro nos alertará a todos."
10016328,spa,Si piensas eso te equivocas.
7972129,spa,Las ventas de este modelo de teléfono móvil se han incrementado.
1138838,spa,"Fui a por ti, pero tú ya te habías ido."
5566441,spa,Tienen una taradura importante.
6001886,spa,No fui yo quien te insultó.
1494360,spa,"Pepe, Paco, y Tico son diminutivos de José, Francisco y Escolástico, respectivamente."
6146992,spa,Estoy en Berlín.
10517954,spa,"La sabiduría me dice que no soy nada, el amor me dice que soy todo. Entre los dos, mi vida fluye."
1900598,spa,En ese segundo me enamoré del idioma.
6630307,spa,Yo que vosotros lo compraba.
3308491,spa,¿Dio de comer a un cocodrilo alguna vez?
3392091,spa,¿Crees que yo sería lo suficientemente estúpido para venir aquí sin un arma?
569113,spa,Me pregunto si está casado.
5019655,spa,Ese niño es puro hueso.
600191,spa,¿Cómo vas al colegio?
8368673,spa,¿Quieres poner?
10266644,spa,"Sé que a veces Elisa resulta un poco pesada pero, si no fuera tan locuaz, dejaría de ser ella misma."
8591960,spa,Se propaga por vía oral o por contacto con objetos recientemente contaminados.
3690126,spa,Las alas de la bestia son doradas.
10191941,spa,Tengo un amigo que lo sabe.
10600217,spa,Quiero ir a jugar con mis amigos.
4459750,spa,"Deja que cada quien haga lo que le corresponde, no siempre estarás ahí para corregirlo todo."
1411184,spa,Tom tiene muy poco dinero.
2498806,spa,Tom se quedó aquí una vez.
10243719,spa,Tom odia los pájaros.
1928311,spa,"Ahora vivo en la ciudad, pero espero volver al campo."
11900794,spa,Se les he cerrado.
3295550,spa,Lo que él dijo confirma mis suposiciones.
945417,spa,El dolor le había afectado los sentidos.
1590195,spa,Los ingredientes químicos provocan que la boca se seque.
4367595,spa,"La exposición de fotografía de aves endémicas se celebró el 21 de octubre, coincidiendo con la época en la que cientos de aves migratorias provenientes de Norteamérica pasan volando hacia el sur."
3350098,spa,Ellos no la odian.
1672025,spa,Mi hogar es tu hogar.
6022780,spa,Estás volviéndote grande.
9432223,spa,Estuvo muy bueno.
6797653,spa,Él se jubiló pero sigue siendo un verdadero líder.
10266837,spa,Se presentó como candidato independiente.
3949419,spa,Tom ama a los perros.
1922722,spa,Tiene la costumbre de dar un paseo después de la cena.
11219962,spa,"¿Han leído el libro de Bakunin; ""Dios y el Estado""?"
3522097,spa,¿Todavía estás enamorada de Tom?
5750960,spa,Tom sí que advirtió a Mary.
1214356,spa,"Aún cuando está lloviendo, no me importa para nada."
10364376,spa,La cabeza me está estallando.
11167347,spa,No tiraste a ese morral.
3715872,spa,"El anciano, con una voz que rara vez se elevaba por encima del aullido del viento sobre el árido desierto, les estaba cantando una canción de Navidad."
2175057,spa,Tom esperó tres horas.
6402627,spa,Los niños son inocentes.
1001031,spa,Pareces japonés.
12920044,spa,Estaba vacío.
12056034,spa,Sé que tú sabes que yo sé.
2880030,spa,"A mi hermana mayor, tanto como a mí, le gusta la música clásica."
3295263,spa,Espero que el autobús venga pronto.
11934619,spa,No ha podido economizar.
633605,spa,Había una vez un gran castillo en la colina.
1608852,spa,El taxi parecía que iba tan lento como un caracol.
6694276,spa,Me rendí.
2311731,spa,Él extendió su brazo derecho.
