frase,palabra,significado_correcto,traduccion_es
薛偏要在床上看电视,看,,Xue quiere ver la tele en la cama.
回答問題。,回,,Responde a la pregunta.
你知道这儿附近有什么好餐馆吗?,道,,¿Conoces algún buen restaurante por aquí?
在你有需要的時候，會幫你的朋友才是真正的朋友。,有,,Un amigo que te ayuda cuando lo necesitas es un amigo de verdad.
我们是学生。,生,,Somos estudiantes.
我沒去過紐西蘭。,去,,Nunca he estado en Nueva Zelanda.
加利福尼亞州和內華達州相互接界。,州,,California y Nevada están bordeando el uno al otro.
汤姆也很混乱。,也,,Tom también es un desastre.
他们不是公司员工吗？,是,,¿No son empleados de la compañía?
他做什么工作？,么,,¿A qué se dedica?
你看上去很傻。,看,,Te ves estúpida.
我不想。,不,,No quiero.
他看起来很年轻。,看,,Parece joven.
可能要下雨了。,要,,Tal vez llueva.
我在脫衣服。,在,,Me estoy quitando la ropa.
这艘船没有雷达装备。,有,,La nave no tiene equipo de radar.
窗户里发出了奇怪的声音。,了,,Había un extraño sonido en la ventana.
汤姆是谁？,是,,¿Quién es Tom?
汤姆跑得快。,跑,,Tom corre rápido.
我有時休假去看超級杯。,看,,A veces estoy de vacaciones para ver el Super Bowl.
他不會告訴任何人，對吧？,人,,"No se lo dirá a nadie, ¿verdad?"
正确存储在面包箱中的面包才可以保持新鲜酥脆。,中,,El pan almacenado correctamente en la bolsa se puede mantener fresco y crujiente.
他去冰岛建农场。,他,,Se fue a Islandia a construir una granja.
我很惊讶在这儿看到你。,看,,Me sorprende verte aquí.
這是你的筆嗎？,是,,¿Esta es tu pluma?
我们希望你来我们的聚会。,望,,Queremos que vengas a nuestra fiesta.
他不再住在這裡了。,了,,Ya no vive aquí.
耶路撒冷是犹太人的圣城。,是,,Jerusalén es la ciudad santa del pueblo judío.
他每天去学校学习。,他,,Va a la escuela todos los días.
當爸爸的必須至少會煮蛋。,至,,Cuando papá tenga que al menos cocinar los huevos.
我去你那蹭饭吃。,那,,Voy a comer en tu casa.
那是另一种方言，你听起来当然奇怪了。,一,,"Ese es otro dialecto, claro que suenas extraño."
他拿起筆，寫了起來。,拿,,Tomó la pluma y la escribió.
湯姆幫瑪麗買了她所有需要買的東西。,有,,Tom compró a Mary todo lo que necesitaba.
汤姆有些散漫。,有,,Tom está un poco disperso.
我再也不要汤姆留下来。,要,,No quiero que Tom se quede más.
我昨天早上看到了很多鸟。,看,,Vi un montón de pájaros ayer por la mañana.
当你看到这张图时，你在想什么？,看,,¿En qué estabas pensando cuando viste esta foto?
萨米已婚12次了。,了,,Sami se casó 12 veces.
你好，格罗宁根！,格,,"¡Hola, Groningen!"
“你还真是笨手笨脚。”“闭上你的大嘴。不用你说我也知道！”,道,,"""Eres muy torpe."" ""Cierra la boca, no necesito que me digas eso."""
那个作家生活在小木屋中。,中,,Ese escritor vive en una cabaña.
她有一整籃的蘋果。,有,,Tiene toda una cesta de manzanas.
因此，天氣一點也不熱。,一,,"Como resultado, el clima no es caliente en absoluto."
你昨天就该告诉我了。,了,,Deberías habérmelo dicho ayer.
他忙于写故事。,事,,Está ocupado escribiendo historias.
正整数126的素因数为2、3、3和7。,正,,"Los coeficientes para el conjunto positivo de 126 son 2, 3 y 7."
我们的身体会对我们的感情做出反应。,反,,Nuestros cuerpos responden a nuestros sentimientos.
那个男人的尸体至今仍未被找到。,找,,El cuerpo del hombre aún no ha sido encontrado.
"你可能認為那些鞋子很時髦, 但是他們不是。",但,,"Probablemente pienses que esos zapatos están de moda, pero no lo están."
大家看看划不划算？,看,,Veamos si es una ganga.
买房要量力而行，但也要把握时机。,但,,"Comprar casas es una cuestión de esfuerzo, pero también es una cuestión de tiempo."
她在教堂里坐我旁边。,教,,Se sienta a mi lado en la iglesia.
我只见过他一次。,一,,Sólo lo conocí una vez.
不是很辣。,是,,No muy caliente.
我想成為一個體育記者。,一,,Quiero ser periodista deportivo.
NTT這個縮寫是什麼意思？,意思,,¿Qué significa NTT por iniciales?
