Palabra,Pinyin,Significados_en,Significados_es,Score,Audio_URL
就,jiu,(after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after; (same as 就是[jiu4 shi4]) merely; nothing else but; simply; just; precisely; exactly; only; as little as; as much as; as many as; to approach; to move towards; to undertake; to engage in; (often followed by 著|着[zhe5]) taking advantage of; (of food) to go with; with regard to; concerning; (pattern: 就[jiu4] ... 也[ye3] ...) even if ... still ...; (pattern: 不[bu4] ... 就[jiu4] ...) if not ... then must be ...,(después de una cláusula suposición) en ese caso; entonces; (después de una cláusula de acción) tan pronto como; inmediatamente después; (igual que 就是 [jiu4 shi4]) simplemente; nada más que; simplemente; justo; precisamente; exactamente; solo; tan poco como; cuanto; cuantos; acercarse; para moverse hacia; emprender; participar; (a menudo seguido por 著 | 着 [zhe5]) aprovechando; (de comida) para ir; con respecto a; sobre; (Patrón: 就 [jiu4] ... 也 [ye3] ...) Incluso si ... todavía ...; (Patrón: 不 [Bu4] ... 就 [jiu4] ...) Si no ... entonces debe ser ...,39329568,https://translate.google.com/translate_tts?ie=UTF-8&q=就&tl=zh&client=tw-ob
去,qu,to go; to go to (a place); (of a time etc) last; just passed; to send; to remove; to get rid of; to reduce; to be apart from in space or time; to die (euphemism); to play (a part); (when used either before or after a verb) to go in order to do sth; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation),"ir; para ir a (un lugar); (de un tiempo, etc.) Último; Acabo de pasar; para enviar; para quitar; deshacerse de; para reducir; estar separado del espacio o en el tiempo; morir (eufemismo); jugar (un papel); (cuando se usa antes o después de un verbo) para ir para hacer sth; (después de un verbo de movimiento indica el movimiento lejos del altavoz); (usado después de ciertos verbos para indicar desprendimiento o separación)",24186792,https://translate.google.com/translate_tts?ie=UTF-8&q=去&tl=zh&client=tw-ob
了,le,"to finish; (used with 得[de2] or 不[bu4] after a verb to express (im)possibility, as in 忘不了[wang4bu5liao3] ""cannot forget""); (literary) (usually followed by a negative such as 無|无[wu2] or 不[bu4]) completely (not); entirely (not); (not) in the least; to understand clearly (variant of 瞭|了[liao3])","para terminar; (utilizado con 得 [DE2] o 不 [Bu4] después de un verbo para expresar (im) posibilidad, como en 忘不了 [wang4bu5liao3] ""no puede olvidar""); (literario) (generalmente seguido de un negativo como 無 | 无 [wu2] o 不 [bu4]) completamente (no); completamente (no); (de ninguna manera; para entender claramente (variante de 瞭 | 了 [liao3])",14138144,https://translate.google.com/translate_tts?ie=UTF-8&q=了&tl=zh&client=tw-ob
起,qi,"to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; starting from (a time, place, price etc); classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group","levantarse; criar; para levantarse; para apagar; para comenzar; aparecer; lanzar; iniciar (acción); a borrador; establecer; para obtener (desde un depósito o contador); sufijo verbo, para comenzar; a partir de (una hora, lugar, precio, etc.); clasificador para ocurrencias o eventos impredecibles: caso, instancia; Clasificador para grupos: lote, grupo",13203900,https://translate.google.com/translate_tts?ie=UTF-8&q=起&tl=zh&client=tw-ob
下,xia,"down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action","abajo; hacia abajo; abajo; más bajo; más tarde; siguiente (semana etc.); segundo (de dos partes); declinar; bajar; llegar a (una decisión, conclusión, etc.); Medir palabra para mostrar la frecuencia de una acción",13103574,https://translate.google.com/translate_tts?ie=UTF-8&q=下&tl=zh&client=tw-ob
是,shi,to be (followed by substantives only); correct; right; true; (respectful acknowledgement of a command) very well; (adverb for emphatic assertion),ser (seguido solo por sustantivos); correcto; bien; verdadero; (Reconocimiento respetuoso de un comando) muy bien; (Adverbio para afirmación enfática),12751856,https://translate.google.com/translate_tts?ie=UTF-8&q=是&tl=zh&client=tw-ob
向,xiang,towards; to face; to turn towards; direction; to support; to side with; shortly before; formerly; always; all along; (suffix) suitable for ...; oriented to ...,hacia; enfrentar; girar hacia; dirección; para apoyar; al lado de; poco antes; antes; siempre; todo el tiempo; (sufijo) adecuado para ...; Orientado a ...,10940976,https://translate.google.com/translate_tts?ie=UTF-8&q=向&tl=zh&client=tw-ob
一,yi,"one; single; a (article); as soon as; entire; whole; all; throughout; ""one"" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit","uno; soltero; a (artículo); tan pronto como; completo; entero; todo; a lo largo de; ""Uno"" radical en caracteres chinos (Kangxi Radical 1); también pr. [Yao1] Para mayor claridad al deletrear números dígitos por dígito",10673670,https://translate.google.com/translate_tts?ie=UTF-8&q=一&tl=zh&client=tw-ob
打,da,to beat; to strike; to hit; to break; to type; to mix up; to build; to fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to play (a game); since; from,vencer; atacar; golpear; romper; para escribir; mezclar; construir; luchar; buscar; hacer; para atar; para emitir; disparar; calcular; jugar (un juego); desde; de,9783517,https://translate.google.com/translate_tts?ie=UTF-8&q=打&tl=zh&client=tw-ob
等,deng,to wait for; to await; by the time; when; till; and so on; etc.; et al.; (bound form) class; rank; grade; (bound form) equal to; same as; (used to end an enumeration); (literary) (plural suffix attached to a personal pronoun or noun),esperar; esperar; Para el momento; cuando; hasta; etcétera; etc.; et al.; (forma unida) clase; rango; calificación; (forma unida) igual a; igual que; (se usa para terminar una enumeración); (literario) (sufijo plural adjunto a un pronombre o sustantivo personal),9600766,https://translate.google.com/translate_tts?ie=UTF-8&q=等&tl=zh&client=tw-ob
